性能分析详细报告
================================================================================

按累积时间排序:
----------------------------------------
         259480761 function calls (259154600 primitive calls) in 716.733 seconds

   Ordered by: cumulative time
   List reduced from 1682 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.034    0.034 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.SwigPyIterator_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.StringVector_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.IntVector_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.DoubleVector_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.StringStringPair_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.IntStringPair_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.IntIntPair_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.StringDoublePair_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.StringDoublePairVector_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIException_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.FatalTraCIError_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIResult_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIPosition_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIRoadPosition_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIColor_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIPositionVector_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIInt_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method libsumo._libsumo.TraCIDouble_swigregister}
