总运行时间: 36.65秒

按总时间排序:
==================================================
         12294852 function calls (12199946 primitive calls) in 35.562 seconds

   Ordered by: internal time
   List reduced from 1651 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.025    0.025 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:1(<module>)
     9619    0.008    0.000    0.023    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/__init__.py:82(wrapper)
      179    0.000    0.000    0.021    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/re/__init__.py:272(_compile)
       54    0.000    0.000    0.020    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/re/_compiler.py:740(compile)
        1    0.000    0.000    0.019    0.019 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/urllib/request.py:1(<module>)
    29316    0.015    0.000    0.017    0.000 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sim_obj/passenger.py:87(passenger_end)
        1    0.000    0.000    0.017    0.017 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/numpy/lib/__init__.py:1(<module>)
    50831    0.016    0.000    0.016    0.000 {built-in method libsumo._libsumo.vehicle_getLaneID}
       54    0.000    0.000    0.016    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/re/_parser.py:979(parse)
        1    0.000    0.000    0.016    0.016 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/numpy/core/multiarray.py:1(<module>)
   131/54    0.005    0.000    0.016    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/re/_parser.py:456(_parse_sub)
       53    0.000    0.000    0.015    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/re/__init__.py:225(compile)
        1    0.000    0.000    0.015    0.015 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/numpy/core/overrides.py:1(<module>)
     9619    0.005    0.000    0.014    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/traci/_vehicle.py:877(isAtBusStop)
   122050    0.014    0.000    0.014    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/xml/etree/ElementTree.py:1023(_escape_cdata)
        8    0.000    0.000    0.011    0.001 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/xml/etree/ElementTree.py:754(_get_writer)
      863    0.011    0.000    0.011    0.000 /home/erzhu419/mine_code/sumo-rl/sumo_liu/g_no_control/sim_obj/passenger.py:33(passenger_activate)
    23060    0.005    0.000    0.011    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/libsumo/libsumo.py:5163(getLanePosition)
        1    0.000    0.000    0.011    0.011 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/http/client.py:1(<module>)
      314    0.001    0.000    0.011    0.000 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/numpy/core/overrides.py:170(decorator)
        1    0.000    0.000    0.011    0.011 /home/erzhu419/anaconda3/envs/sumo-rl/lib/python3.11/site-packages/numpy/core/numeric.py:1(<module>)
